date,year,neumonias_men5,hospitalizados_men5,defunciones_men5,neumonias_60mas,hospitalizados_60mas,defunciones_60mas,HR,CFR,HR_roll,CFR_roll
2007-05-28,2007,1228,385,14,86,42,4,0.4883720930232558,0.046511627906976744,0.40599023850168314,0.08454983110566397
2007-06-04,2007,1269,422,14,108,43,4,0.39814814814814814,0.037037037037037035,0.40722934525549576,0.0803559313235289
2007-06-11,2007,1252,405,18,147,42,7,0.2857142857142857,0.047619047619047616,0.3901658531920037,0.07380831227590985
2007-06-18,2007,1085,354,18,118,40,6,0.3389830508474576,0.05084745762711865,0.37739167572440646,0.07464953859694674
2007-06-25,2007,1008,357,16,122,61,7,0.5,0.05737704918032787,0.3790808649135957,0.059862210285028264
2007-07-02,2007,1126,399,14,145,31,5,0.21379310344827587,0.034482758620689655,0.3551293271689545,0.042213095653155015
2007-07-09,2007,1058,359,17,149,54,11,0.3624161073825503,0.0738255033557047,0.3633219655917733,0.0514412835726181
2007-07-16,2007,909,292,5,128,57,7,0.4453125,0.0546875,0.3790924110704967,0.050298497668362786
2007-07-23,2007,833,294,10,95,51,10,0.5368421052631579,0.10526315789473684,0.38515116260048443,0.057642438916832794
2007-07-30,2007,836,263,10,101,38,8,0.37623762376237624,0.07920792079207921,0.38241234705226296,0.06291379938621307
2007-08-06,2007,828,295,11,117,67,2,0.5726495726495726,0.017094017094017096,0.4182792579191738,0.05909817057058425
2007-08-13,2007,815,274,4,97,47,5,0.4845360824742268,0.05154639175257732,0.43647338687252,0.05918553733626659
2007-08-20,2007,797,269,10,116,47,8,0.4051724137931034,0.06896551724137931,0.4246199385966579,0.06063409584389802
2007-08-27,2007,705,252,6,116,58,6,0.5,0.05172413793103448,0.4603958006656234,0.06278926825769111
2007-09-03,2007,806,252,12,130,73,11,0.5615384615384615,0.08461538461538462,0.4852860949351123,0.0641380034151511
2007-09-10,2007,851,259,11,111,40,7,0.36036036036036034,0.06306306306306306,0.47466707748015735,0.06518494879803399
2007-09-17,2007,756,257,8,118,41,7,0.3474576271186441,0.059322033898305086,0.45099401771209313,0.05944230829848002
2007-09-24,2007,852,247,6,218,42,4,0.1926605504587156,0.01834862385321101,0.42804688354913556,0.05183489618112149
2007-10-01,2007,819,277,8,111,47,6,0.42342342342342343,0.05405405405405406,0.4093936148958669,0.05645490080112611
2007-10-08,2007,952,296,12,107,44,3,0.411214953271028,0.028037383177570093,0.40022847374546705,0.05351627472925021
2007-10-15,2007,932,297,5,140,43,7,0.30714285714285716,0.05,0.38797477916418627,0.05114558507407781
2007-10-22,2007,932,292,5,99,43,6,0.43434343434343436,0.06060606060606061,0.37976770845711555,0.052255825408456066
2007-10-29,2007,792,254,6,102,28,2,0.27450980392156865,0.0196078431372549,0.34388912625500395,0.04412988272368985
2007-11-05,2007,902,307,4,117,35,6,0.29914529914529914,0.05128205128205128,0.3362372436031213,0.042657256251063376
2007-11-12,2007,878,271,9,141,39,9,0.2765957446808511,0.06382978723404255,0.3273795082983972,0.04322072541803056
2007-11-19,2007,876,279,6,112,32,8,0.2857142857142857,0.07142857142857142,0.33901122520534344,0.04985571886495062
2007-11-26,2007,882,311,10,118,36,9,0.3050847457627119,0.07627118644067797,0.3242188904977545,0.05263286041327861
2007-12-03,2007,791,269,6,104,30,3,0.28846153846153844,0.028846153846153848,0.30887471364656827,0.05273395674685157
2007-12-10,2007,820,276,10,124,36,11,0.2903225806451613,0.08870967741935484,0.30677217908435633,0.05757266642427093
2007-12-17,2007,786,289,5,101,39,7,0.38613861386138615,0.06930693069306931,0.3007465765241003,0.058660275185147014
2007-12-24,2007,909,301,5,90,50,2,0.5555555555555556,0.022222222222222223,0.33587729547834866,0.05898707257076793
2007-12-31,2007,756,266,9,127,34,5,0.2677165354330709,0.03937007874015748,0.33194870001432014,0.05749807600303121
2008-01-07,2008,935,322,2,173,46,7,0.2658959537572254,0.04046242774566474,0.3306112261488669,0.05457715606698398
2008-01-14,2008,920,309,8,131,40,8,0.3053435114503817,0.061068702290076333,0.3330648793658789,0.05328217242467209
2008-01-21,2008,764,253,5,117,39,5,0.3333333333333333,0.042735042735042736,0.3365959528122066,0.04909015446146769
2008-01-28,2008,789,274,8,144,42,6,0.2916666666666667,0.041666666666666664,0.33699659383784764,0.0506927185640318
2008-02-04,2008,806,293,9,115,28,10,0.24347826086956523,0.08695652173913043,0.3311410538658981,0.05047357410400374
2008-02-11,2008,748,244,8,113,32,5,0.2831858407079646,0.04424778761061947,0.3182719572217204,0.04734118121869751
2008-02-18,2008,786,260,9,113,43,3,0.3805309734513274,0.02654867256637168,0.2963938844586919,0.0478819875117162
2008-02-25,2008,855,271,6,121,29,4,0.2396694214876033,0.03305785123966942,0.29288799521550846,0.047092959074155186
2008-03-03,2008,946,286,4,122,27,7,0.22131147540983606,0.05737704918032787,0.28731493542208475,0.04920728675348807
2008-03-10,2008,938,272,3,140,39,1,0.2785714285714286,0.007142857142857143,0.28396842506221565,0.04246655611008568
2008-03-17,2008,884,274,9,127,40,4,0.31496062992125984,0.031496062992125984,0.2816718371357065,0.04106168364222108
