date,year,neumonias_men5,hospitalizados_men5,defunciones_men5,neumonias_60mas,hospitalizados_60mas,defunciones_60mas,HR,CFR,HR_roll,CFR_roll
2018-05-28,2018,913,375,8,430,147,26,0.41073384446878425,0.008762322015334063,0.319293678372388,0.006958893474425829
2018-06-04,2018,945,360,8,511,175,27,0.38095238095238093,0.008465608465608466,0.3342811470440672,0.0069644629536795176
2018-06-11,2018,1045,399,17,532,163,28,0.38181818181818183,0.016267942583732056,0.34323025685972813,0.0076981290868713284
2018-06-18,2018,1119,451,16,508,174,37,0.40303842716711347,0.014298480786416443,0.35311161788801604,0.008317214886107963
2018-06-25,2018,987,413,13,548,239,32,0.41843971631205673,0.013171225937183385,0.3657340427444835,0.009242117406755164
2018-07-02,2018,930,364,16,519,199,40,0.3913978494623656,0.017204301075268817,0.37252394246660503,0.011236600109827936
2018-07-09,2018,858,370,12,518,210,39,0.43123543123543123,0.013986013986013986,0.3928561845345159,0.012454066295446988
2018-07-16,2018,831,331,7,511,204,35,0.3983152827918171,0.00842358604091456,0.4019913892760164,0.012572435111308972
2018-07-23,2018,690,289,9,453,199,41,0.41884057971014493,0.013043478260869565,0.40300473118118646,0.013107579642000908
2018-07-30,2018,643,286,9,476,157,30,0.4447900466562986,0.013996889580093312,0.41098443939417617,0.013798989781311515
2018-08-06,2018,601,247,10,470,184,29,0.41098169717138106,0.016638935108153077,0.4146298788133261,0.013845363846864142
2018-08-13,2018,507,161,6,434,164,29,0.3175542406311637,0.011834319526627219,0.4039443554963324,0.013537343689390491
2018-08-20,2018,448,182,9,448,180,31,0.40625,0.020089285714285716,0.40242064095732527,0.014402101161528283
2018-08-27,2018,468,172,1,364,132,27,0.36752136752136755,0.002136752136752137,0.39943608071470055,0.012518657544213697
2018-09-03,2018,506,206,6,386,139,28,0.40711462450592883,0.011857707509881422,0.3964209798735127,0.012252619234697126
2018-09-10,2018,483,157,6,383,155,25,0.3250517598343685,0.012422360248447204,0.3872630395038316,0.012752466010638707
2018-09-17,2018,452,189,5,367,131,15,0.41814159292035397,0.011061946902654867,0.3871756661551078,0.01250477459086187
2018-09-24,2018,483,180,3,345,139,21,0.37267080745341613,0.006211180124223602,0.3781607612547475,0.011531560908878156
2018-10-01,2018,412,152,3,339,137,13,0.36893203883495146,0.007281553398058253,0.3729045539626938,0.010361888195116303
2018-10-08,2018,477,161,2,309,95,24,0.33752620545073375,0.0041928721174004195,0.37540104956514003,0.009406707268962953
2018-10-15,2018,499,184,8,355,137,19,0.3687374749498998,0.01603206412825651,0.3707119839338775,0.008899554570709303
2018-10-22,2018,437,172,2,337,138,15,0.39359267734553777,0.004576659038901602,0.3739708976618988,0.009204542933477985
2018-10-29,2018,459,154,5,360,132,17,0.3355119825708061,0.010893246187363835,0.36502056742000843,0.009083985268163286
2018-11-05,2018,532,195,6,358,144,24,0.36654135338345867,0.011278195488721804,0.3702067666136447,0.008940964673197611
2018-11-12,2018,473,185,2,369,119,20,0.39112050739957716,0.004228329809725159,0.36682913092354763,0.008086762536581398
2018-11-19,2018,508,196,8,338,126,18,0.3858267716535433,0.015748031496062992,0.36847362644856346,0.009278868958061322
2018-11-26,2018,464,175,1,316,134,13,0.3771551724137931,0.0021551724137931034,0.3695015181459187,0.00863807133502818
2018-12-03,2018,460,168,4,356,127,20,0.3652173913043478,0.008695652173913044,0.37296291637762047,0.009200918842092256
2018-12-10,2018,444,181,4,327,133,16,0.40765765765765766,0.009009009009009009,0.3778279392160902,0.008323036952186318
2018-12-17,2018,395,170,0,320,115,18,0.43037974683544306,0.0,0.38242632290232836,0.007750954572323618
2018-12-24,2018,375,154,5,305,120,17,0.4106666666666667,0.013333333333333334,0.39182065841431096,0.008055965465569805
2018-12-31,2018,371,131,2,362,134,14,0.353099730458221,0.005390835579514825,0.39014045554865623,0.007320045476918933
2019-01-07,2019,350,135,5,401,137,24,0.38571428571428573,0.014285714285714285,0.38946467783799477,0.008577218536417575
2019-01-14,2019,353,124,3,428,153,10,0.35127478753541075,0.0084985835694051,0.3851456798232282,0.007671037545585338
2019-01-21,2019,335,130,1,421,141,15,0.3880597014925373,0.0029850746268656717,0.3865087459580713,0.0077747753222194085
2019-01-28,2019,297,113,2,403,141,28,0.38047138047138046,0.006734006734006734,0.3884154946039503,0.00752956964223112
2019-02-04,2019,309,98,2,443,156,34,0.31715210355987056,0.006472491909385114,0.3771023003417269,0.007212505004778133
2019-02-11,2019,337,95,2,444,148,29,0.2818991097922849,0.005934718100890208,0.3585422207113322,0.00795434476738941
2019-02-18,2019,363,118,1,467,144,19,0.325068870523416,0.0027548209366391185,0.34784249619342583,0.006632030717802631
2019-02-25,2019,317,86,5,493,176,27,0.27129337539432175,0.015772870662460567,0.33761670181043846,0.00792978510317085
2019-03-04,2019,338,102,4,386,139,25,0.30177514792899407,0.011834319526627219,0.327124309587277,0.007623360758284967
2019-03-11,2019,307,100,2,444,161,29,0.3257328990228013,0.006514657980456026,0.3239315735232008,0.007375370059666332
2019-03-18,2019,371,121,7,381,144,31,0.3261455525606469,0.018867924528301886,0.31619230490671446,0.00936072629734586
2019-03-25,2019,432,142,5,354,145,24,0.3287037037037037,0.011574074074074073,0.3097213453107549,0.009965734714854277
2019-04-01,2019,500,178,7,371,140,16,0.356,0.014,0.3145773323657711,0.010906673226181137
2019-04-08,2019,530,184,3,362,132,24,0.3471698113207547,0.005660377358490566,0.3227361700568298,0.010872380633381182
2019-04-15,2019,546,223,2,318,100,25,0.4084249084249084,0.003663003663003663,0.33315567479451635,0.01098590347417675
2019-04-22,2019,568,202,3,320,136,28,0.35563380281690143,0.00528169014084507,0.3436982282223388,0.009674505908974814
2019-04-29,2019,579,213,3,324,132,26,0.36787564766839376,0.0051813471502590676,0.35196079068976377,0.008842884361928795
2019-05-06,2019,702,264,3,325,124,28,0.37606837606837606,0.004273504273504274,0.35825272532046065,0.008562740148559825
2019-05-13,2019,675,234,6,331,118,25,0.3466666666666667,0.008888888888888889,0.3608178645837131,0.0073153606936332
2019-05-20,2019,635,220,3,317,128,28,0.3464566929133858,0.004724409448818898,0.36303698823492336,0.006459152615476303
2019-05-27,2019,762,274,2,344,132,23,0.35958005249343833,0.0026246719160104987,0.36348449479660316,0.005037236604977615
2019-06-03,2019,761,285,6,374,128,23,0.3745072273324573,0.00788436268068331,0.36690167179806593,0.005315234770251708
2019-06-10,2019,709,283,2,389,145,28,0.3991537376586742,0.0028208744710860366,0.3657427754522867,0.005209968621262005
