department,year,ubigeo,iddpto,population,cases_men5,cases_60mas,hosp_men5,hosp_60mas,death_men5,death_60mas,cases_rate_men5,cases_rate_60mas,hosp_rate_men5,hosp_rate_60mas,death_rate_men5,death_rate_60mas,inc_rate_men5,inc_rate_60mas
SAN MARTIN,2007,220000,22,728808.0,1252,32,415,14,9,0,171.79,4.39,56.94,1.92,1.23,0.0,171.79,4.39
SAN MARTIN,2008,220000,22,742173.0,1140,38,417,6,0,0,153.6,5.12,56.19,0.81,0.0,0.0,153.6,5.12
SAN MARTIN,2009,220000,22,755538.0,1016,47,310,25,7,1,134.47,6.22,41.03,3.31,0.93,0.13,134.47,6.22
SAN MARTIN,2010,220000,22,768903.0,982,133,388,89,8,7,127.71,17.3,50.46,11.57,1.04,0.91,127.71,17.3
SAN MARTIN,2011,220000,22,782268.0,923,139,338,96,10,8,117.99,17.77,43.21,12.27,1.28,1.02,117.99,17.77
SAN MARTIN,2012,220000,22,795634.0,607,80,128,37,1,1,76.29,10.05,16.09,4.65,0.13,0.13,76.29,10.05
SAN MARTIN,2013,220000,22,808999.0,805,112,166,67,5,0,99.51,13.84,20.52,8.28,0.62,0.0,99.51,13.84
SAN MARTIN,2014,220000,22,822364.0,879,106,142,55,3,1,106.89,12.89,17.27,6.69,0.36,0.12,106.89,12.89
SAN MARTIN,2015,220000,22,835729.0,537,121,129,64,6,0,64.26,14.48,15.44,7.66,0.72,0.0,64.26,14.48
SAN MARTIN,2016,220000,22,849094.0,401,143,117,82,4,4,47.23,16.84,13.78,9.66,0.47,0.47,47.23,16.84
SAN MARTIN,2017,220000,22,862459.0,395,144,85,87,2,4,45.8,16.7,9.86,10.09,0.23,0.46,45.8,16.7
SAN MARTIN,2018,220000,22,866861.0,478,198,140,98,1,0,55.14,22.84,16.15,11.31,0.12,0.0,55.14,22.84
SAN MARTIN,2019,220000,22,884283.0,430,235,148,140,3,3,48.63,26.58,16.74,15.83,0.34,0.34,48.63,26.58
SAN MARTIN,2020,220000,22,899648.0,186,495,86,384,6,125,20.67,55.02,9.56,42.68,0.67,13.89,20.67,55.02
SAN MARTIN,2021,220000,22,912674.0,317,866,79,642,8,180,34.73,94.89,8.66,70.34,0.88,19.72,34.73,94.89
SAN MARTIN,2022,220000,22,924384.0,871,749,324,499,18,99,94.22,81.03,35.05,53.98,1.95,10.71,94.22,81.03
SAN MARTIN,2023,220000,22,935194.0,905,753,352,392,11,80,96.77,80.52,37.64,41.92,1.18,8.55,96.77,80.52
TACNA,2000,230000,23,253567.0,325,0,1,0,0,0,128.17,0.0,0.39,0.0,0.0,0.0,128.17,0.0
TACNA,2001,230000,23,258598.0,258,0,0,0,8,0,99.77,0.0,0.0,0.0,3.09,0.0,99.77,0.0
TACNA,2002,230000,23,263628.0,233,0,22,0,0,0,88.38,0.0,8.35,0.0,0.0,0.0,88.38,0.0
TACNA,2003,230000,23,268659.0,376,0,4,0,1,0,139.95,0.0,1.49,0.0,0.37,0.0,139.95,0.0
TACNA,2004,230000,23,273689.0,287,0,7,0,0,0,104.86,0.0,2.56,0.0,0.0,0.0,104.86,0.0
TACNA,2005,230000,23,278720.0,271,0,56,0,0,0,97.23,0.0,20.09,0.0,0.0,0.0,97.23,0.0
TACNA,2006,230000,23,283750.0,293,0,14,0,0,0,103.26,0.0,4.93,0.0,0.0,0.0,103.26,0.0
TACNA,2007,230000,23,288781.0,276,6,2,3,0,5,95.57,2.08,0.69,1.04,0.0,1.73,95.57,2.08
TACNA,2008,230000,23,294808.0,161,18,2,0,0,0,54.61,6.11,0.68,0.0,0.0,0.0,54.61,6.11
TACNA,2009,230000,23,300836.0,162,62,5,24,0,1,53.85,20.61,1.66,7.98,0.0,0.33,53.85,20.61
TACNA,2010,230000,23,306864.0,202,90,41,66,0,5,65.83,29.33,13.36,21.51,0.0,1.63,65.83,29.33
TACNA,2011,230000,23,312891.0,122,131,28,102,4,39,38.99,41.87,8.95,32.6,1.28,12.46,38.99,41.87
TACNA,2012,230000,23,318918.0,104,74,44,66,3,47,32.61,23.2,13.8,20.69,0.94,14.74,32.61,23.2
TACNA,2013,230000,23,324946.0,111,30,51,25,3,18,34.16,9.23,15.69,7.69,0.92,5.54,34.16,9.23
TACNA,2014,230000,23,330974.0,87,54,47,39,3,13,26.29,16.32,14.2,11.78,0.91,3.93,26.29,16.32
TACNA,2015,230000,23,337001.0,70,35,35,24,0,0,20.77,10.39,10.39,7.12,0.0,0.0,20.77,10.39
TACNA,2016,230000,23,343028.0,55,47,10,10,1,2,16.03,13.7,2.92,2.92,0.29,0.58,16.03,13.7
TACNA,2017,230000,23,349056.0,47,45,15,37,4,3,13.46,12.89,4.3,10.6,1.15,0.86,13.46,12.89
TACNA,2018,230000,23,354644.0,78,119,12,96,3,23,21.99,33.55,3.38,27.07,0.85,6.49,21.99,33.55
TACNA,2019,230000,23,363205.0,51,100,13,94,1,12,14.04,27.53,3.58,25.88,0.28,3.3,14.04,27.53
TACNA,2020,230000,23,370974.0,9,144,3,133,0,7,2.43,38.82,0.81,35.85,0.0,1.89,2.43,38.82
TACNA,2021,230000,23,377842.0,13,129,3,97,0,2,3.44,34.14,0.79,25.67,0.0,0.53,3.44,34.14
TACNA,2022,230000,23,384222.0,79,153,38,132,0,3,20.56,39.82,9.89,34.36,0.0,0.78,20.56,39.82
TACNA,2023,230000,23,390279.0,106,69,94,25,0,4,27.16,17.68,24.09,6.41,0.0,1.02,27.16,17.68
TUMBES,2000,240000,24,177914.0,327,0,35,0,0,0,183.8,0.0,19.67,0.0,0.0,0.0,183.8,0.0
TUMBES,2001,240000,24,181112.0,169,0,49,0,3,0,93.31,0.0,27.06,0.0,1.66,0.0,93.31,0.0
TUMBES,2002,240000,24,184311.0,163,0,34,0,1,0,88.44,0.0,18.45,0.0,0.54,0.0,88.44,0.0
TUMBES,2003,240000,24,187510.0,80,0,5,0,0,0,42.66,0.0,2.67,0.0,0.0,0.0,42.66,0.0
TUMBES,2004,240000,24,190709.0,62,0,2,0,0,0,32.51,0.0,1.05,0.0,0.0,0.0,32.51,0.0
TUMBES,2005,240000,24,193908.0,101,0,11,0,1,0,52.09,0.0,5.67,0.0,0.52,0.0,52.09,0.0
TUMBES,2006,240000,24,197107.0,129,41,5,0,1,0,65.45,20.8,2.54,0.0,0.51,0.0,65.45,20.8
TUMBES,2007,240000,24,200306.0,200,24,91,13,2,0,99.85,11.98,45.43,6.49,1.0,0.0,99.85,11.98
TUMBES,2008,240000,24,203745.0,225,26,78,19,3,1,110.43,12.76,38.28,9.33,1.47,0.49,110.43,12.76
TUMBES,2009,240000,24,207184.0,177,24,31,23,2,1,85.43,11.58,14.96,11.1,0.97,0.48,85.43,11.58
TUMBES,2010,240000,24,210624.0,136,25,35,22,1,0,64.57,11.87,16.62,10.45,0.47,0.0,64.57,11.87
TUMBES,2011,240000,24,214063.0,129,10,14,9,0,0,60.26,4.67,6.54,4.2,0.0,0.0,60.26,4.67
TUMBES,2012,240000,24,217502.0,100,10,49,8,1,0,45.98,4.6,22.53,3.68,0.46,0.0,45.98,4.6
TUMBES,2013,240000,24,220941.0,153,48,110,45,3,0,69.25,21.73,49.79,20.37,1.36,0.0,69.25,21.73
TUMBES,2014,240000,24,224380.0,110,64,84,56,0,0,49.02,28.52,37.44,24.96,0.0,0.0,49.02,28.52
TUMBES,2015,240000,24,227820.0,138,66,89,53,0,0,60.57,28.97,39.07,23.26,0.0,0.0,60.57,28.97
TUMBES,2016,240000,24,231259.0,145,70,71,29,1,3,62.7,30.27,30.7,12.54,0.43,1.3,62.7,30.27
TUMBES,2017,240000,24,234698.0,276,79,129,39,0,2,117.6,33.66,54.96,16.62,0.0,0.85,117.6,33.66
TUMBES,2018,240000,24,241321.0,175,143,68,45,0,0,72.52,59.26,28.18,18.65,0.0,0.0,72.52,59.26
TUMBES,2019,240000,24,246699.0,226,202,9,1,0,1,91.61,81.88,3.65,0.41,0.0,0.41,91.61,81.88
TUMBES,2020,240000,24,251521.0,37,122,10,6,0,0,14.71,48.5,3.98,2.39,0.0,0.0,14.71,48.5
TUMBES,2021,240000,24,255712.0,87,70,23,7,0,0,34.02,27.37,8.99,2.74,0.0,0.0,34.02,27.37
TUMBES,2022,240000,24,259556.0,184,56,91,2,0,0,70.89,21.58,35.06,0.77,0.0,0.0,70.89,21.58
TUMBES,2023,240000,24,263164.0,238,188,85,52,0,4,90.44,71.44,32.3,19.76,0.0,1.52,90.44,71.44
UCAYALI,2000,250000,25,373484.0,3315,0,826,0,26,0,887.59,0.0,221.16,0.0,6.96,0.0,887.59,0.0
UCAYALI,2001,250000,25,381867.0,2171,0,510,0,31,0,568.52,0.0,133.55,0.0,8.12,0.0,568.52,0.0
UCAYALI,2002,250000,25,390249.0,2071,0,340,0,13,0,530.69,0.0,87.12,0.0,3.33,0.0,530.69,0.0
UCAYALI,2003,250000,25,398631.0,1555,0,205,0,5,0,390.09,0.0,51.43,0.0,1.25,0.0,390.09,0.0
UCAYALI,2004,250000,25,407013.0,1477,0,306,0,6,0,362.89,0.0,75.18,0.0,1.47,0.0,362.89,0.0
UCAYALI,2005,250000,25,415395.0,1879,0,334,0,9,0,452.34,0.0,80.41,0.0,2.17,0.0,452.34,0.0
UCAYALI,2006,250000,25,423777.0,2196,13,517,9,7,0,518.2,3.07,122.0,2.12,1.65,0.0,518.2,3.07
UCAYALI,2007,250000,25,432159.0,1717,60,342,26,16,1,397.31,13.88,79.14,6.02,3.7,0.23,397.31,13.88
UCAYALI,2008,250000,25,443843.0,1939,74,333,20,7,1,436.87,16.67,75.03,4.51,1.58,0.23,436.87,16.67
UCAYALI,2009,250000,25,455527.0,2260,33,293,4,15,0,496.13,7.24,64.32,0.88,3.29,0.0,496.13,7.24
UCAYALI,2010,250000,25,467211.0,2042,58,325,25,17,0,437.06,12.41,69.56,5.35,3.64,0.0,437.06,12.41
UCAYALI,2011,250000,25,478895.0,1422,97,287,59,9,0,296.93,20.25,59.93,12.32,1.88,0.0,296.93,20.25
UCAYALI,2012,250000,25,490578.0,1332,102,421,51,18,6,271.52,20.79,85.82,10.4,3.67,1.22,271.52,20.79
UCAYALI,2013,250000,25,502262.0,1400,72,359,49,20,5,278.74,14.34,71.48,9.76,3.98,1.0,278.74,14.34
UCAYALI,2014,250000,25,513946.0,1030,52,223,17,10,0,200.41,10.12,43.39,3.31,1.95,0.0,200.41,10.12
UCAYALI,2015,250000,25,525630.0,1271,131,235,23,7,0,241.81,24.92,44.71,4.38,1.33,0.0,241.81,24.92
UCAYALI,2016,250000,25,537314.0,1468,188,201,12,11,0,273.21,34.99,37.41,2.23,2.05,0.0,273.21,34.99
UCAYALI,2017,250000,25,548998.0,1155,256,227,51,14,1,210.38,46.63,41.35,9.29,2.55,0.18,210.38,46.63
UCAYALI,2018,250000,25,558767.0,1555,397,304,90,27,7,278.29,71.05,54.41,16.11,4.83,1.25,278.29,71.05
UCAYALI,2019,250000,25,574509.0,1178,389,190,158,21,9,205.04,67.71,33.07,27.5,3.66,1.57,205.04,67.71
UCAYALI,2020,250000,25,589110.0,549,236,84,97,24,27,93.19,40.06,14.26,16.47,4.07,4.58,93.19,40.06
UCAYALI,2021,250000,25,602400.0,672,298,70,107,8,2,111.55,49.47,11.62,17.76,1.33,0.33,111.55,49.47
UCAYALI,2022,250000,25,615024.0,824,492,99,74,10,6,133.98,80.0,16.1,12.03,1.63,0.98,133.98,80.0
UCAYALI,2023,250000,25,627233.0,1085,258,130,68,17,16,172.98,41.13,20.73,10.84,2.71,2.55,172.98,41.13
